bronze,sliver,gold,sliver_lines,gold_lines,difference
palmares-bas-congo-1-21-2015.pdf,palmares-bas-congo-1-21-2015.txt,palmares-2015-bas-congo-1-21.txt,16580,15528,-1052
palmares-bas-congo-2-22-2010.pdf,palmares-bas-congo-2-22-2010.txt,palmares-2010-bas-congo-2-22.txt,7940,7315,-625
palmares-bas-congo-2-22-2013.pdf,palmares-bas-congo-2-22-2013.txt,palmares-2013-bas-congo-2-22.txt,7327,6490,-837
palmares-bas-congo-2-22-2015.pdf,palmares-bas-congo-2-22-2015.txt,palmares-2015-bas-congo-2-22.txt,11723,10833,-890
palmares-bas-congo-2008.pdf,palmares-bas-congo-2008.txt,palmares-2008-bas-congo.txt,9772,9038,-734
palmares-bas-congo-2009.pdf,palmares-bas-congo-2009.txt,palmares-2009-bas-congo.txt,17087,15821,-1266
palmares-bas-congo-2012.pdf,palmares-bas-congo-2012.txt,palmares-2012-bas-congo.txt,16266,15225,-1041
palmares-bas-uele-2018.pdf,palmares-bas-uele-2018.txt,palmares-2018-bas-uele.txt,2484,2314,-170
palmares-definitif-bas-uele-2017-54.pdf,palmares-definitif-bas-uele-2017-54.txt,palmares-2017-definitif-bas-uele-54.txt,2549,2389,-160
palmares-definitif-equateur-2017-41.pdf,palmares-definitif-equateur-2017-41.txt,palmares-2017-definitif-equateur-41.txt,12098,11316,-782
palmares-definitif-haut-katanga-2017-71.pdf,palmares-definitif-haut-katanga-2017-71.txt,palmares-2017-definitif-haut-katanga-71.txt,47840,44876,-2964
palmares-definitif-haut-lomami-2017-72.pdf,palmares-definitif-haut-lomami-2017-72.txt,palmares-2017-definitif-haut-lomami-72.txt,16334,15409,-925
palmares-definitif-haut-uele-2017-53.pdf,palmares-definitif-haut-uele-2017-53.txt,palmares-2017-definitif-haut-uele-53.txt,4781,4474,-307
palmares-definitif-hors-frontiere-2017-0x.pdf,palmares-definitif-hors-frontiere-2017-0x.txt,palmares-2017-definitif-hors-frontiere-0x.txt,337,329,-8
palmares-definitif-ituri-2017-52.pdf,palmares-definitif-ituri-2017-52.txt,palmares-2017-definitif-ituri-52.txt,16148,15209,-939
palmares-definitif-kasai-2017-82.pdf,palmares-definitif-kasai-2017-82.txt,palmares-2017-definitif-kasai-82.txt,16160,14824,-1336
palmares-definitif-kasai-central-2017-81.pdf,palmares-definitif-kasai-central-2017-81.txt,palmares-2017-definitif-kasai-central-81.txt,14688,13617,-1071
