filename,year,region,province,total,unique_names,m,f,lower_threshold,upper_threshold,is_low_outlier,is_high_outlier
palmares-2019-kasai-1-82.txt,2019,kasai-1-82,kasai-occidental,6344,6283,4518,1826,-11453.0,31227.0,false,false
palmares-2016-sud-ubangi-42.txt,2016,sud-ubangi-42,equateur,6323,6323,4794,1529,-11453.0,31227.0,false,false
palmares-2019-haut-lomami-2-75.txt,2019,haut-lomami-2-75,katanga,6311,6275,5018,1293,-11453.0,31227.0,false,false
palmares-2022-mai-ndombe-2-code-37.txt,2022,mai-ndombe-2-code-37,bandundu,6266,6265,3992,2274,-11453.0,31227.0,false,false
palmares-2013-equateur-1-41.txt,2013,equateur-1-41,equateur,6228,6226,4488,1740,-11453.0,31227.0,false,false
palmares-2013-bandundu-3-33.txt,2013,bandundu-3-33,bandundu,6208,6180,4328,1880,-11453.0,31227.0,false,false
palmares-2023-sankuru-2-95.txt,2023,sankuru-2-95,kasai-oriental,6114,6089,4069,2045,-11453.0,31227.0,false,false
palmares-2022-nord-kivu-3-code-66.txt,2022,nord-kivu-3-code-66,nord-kivu,6085,6084,3865,2220,-11453.0,31227.0,false,false
palmares-2010-equateur-1-41.txt,2010,equateur-1-41,equateur,6060,6058,4476,1584,-11453.0,31227.0,false,false
palmares-2017-definitif-lualaba-74.txt,2017,definitif-lualaba-74,katanga,6041,6039,3869,2172,-11453.0,31227.0,false,false
palmares-2013-province-orientale-2-52.txt,2013,province-orientale-2-52,orientale,5959,5951,4027,1932,-11453.0,31227.0,false,false
palmares-2021-kongo-central-2.txt,2021,kongo-central-2,bas-congo,5947,5943,2941,3006,-11453.0,31227.0,false,false
palmares-2018-mongala.txt,2018,mongala,equateur,5909,5907,4314,1595,-11453.0,31227.0,false,false
palmares-2013-katanga-3-73.txt,2013,katanga-3-73,katanga,5793,5781,4745,1048,-11453.0,31227.0,false,false
palmares-2010-katanga-3-73.txt,2010,katanga-3-73,katanga,5731,5684,4562,1169,-11453.0,31227.0,false,false
palmares-2023-mai-ndombe-1-31.txt,2023,mai-ndombe-1-31,bandundu,5726,5716,3798,1928,-11453.0,31227.0,false,false
palmares-2019-sud-ubangi-1-42.txt,2019,sud-ubangi-1-42,equateur,5714,5714,3914,1800,-11453.0,31227.0,false,false
palmares-2023-sud-ubangi-2-47.txt,2023,sud-ubangi-2-47,equateur,5694,5693,3977,1717,-11453.0,31227.0,false,false
palmares-2010-kasai-orient-2-92.txt,2010,kasai-orient-2-92,kasai-oriental,5682,5671,4195,1487,-11453.0,31227.0,false,false
palmares-2019-lualaba-1-74.txt,2019,lualaba-1-74,katanga,5661,5660,3338,2323,-11453.0,31227.0,false,false
palmares-2023-mai-ndombe-2-37.txt,2023,mai-ndombe-2-37,bandundu,5628,5626,3553,2075,-11453.0,31227.0,false,false
palmares-2022-sud-kivu-2-code-65.txt,2022,sud-kivu-2-code-65,sud-kivu,5623,5612,3530,2093,-11453.0,31227.0,false,false
palmares-2023-sud-ubangi-1-42.txt,2023,sud-ubangi-1-42,equateur,5569,5567,3301,2268,-11453.0,31227.0,false,false
palmares-2021-ituri-1.txt,2021,ituri-1,orientale,5566,5563,2935,2631,-11453.0,31227.0,false,false
palmares-2016-lualaba-74.txt,2016,lualaba-74,katanga,5548,5545,3581,1967,-11453.0,31227.0,false,false
palmares-2013-kasai-oriental-3-93.txt,2013,kasai-oriental-3-93,kasai-oriental,5535,5523,4140,1395,-11453.0,31227.0,false,false
palmares-2022-sankuru-2-code-95.txt,2022,sankuru-2-code-95,kasai-oriental,5450,5442,3493,1957,-11453.0,31227.0,false,false
palmares-2021-tanganyika-2.txt,2021,tanganyika-2,katanga,5446,5424,4187,1259,-11453.0,31227.0,false,false
palmares-2015-equateur-2-42.txt,2015,equateur-2-42,equateur,5395,5395,4116,1279,-11453.0,31227.0,false,false
palmares-2022-kongo-central-3-code-23.txt,2022,kongo-central-3-code-23,bas-congo,5331,5328,3355,1976,-11453.0,31227.0,false,false
palmares-2022-tshopo-2-code-55.txt,2022,tshopo-2-code-55,orientale,5323,5321,3880,1443,-11453.0,31227.0,false,false
palmares-2021-maniema-1.txt,2021,maniema-1,maniema,5286,5282,3613,1673,-11453.0,31227.0,false,false
palmares-2010-bas-congo-2-22.txt,2010,bas-congo-2-22,bas-congo,5256,5256,3622,1634,-11453.0,31227.0,false,false
palmares-2021-maniema-2.txt,2021,maniema-2,maniema,5238,5210,4048,1190,-11453.0,31227.0,false,false
palmares-2013-maniema-64.txt,2013,maniema-64,maniema,5157,5122,4342,815,-11453.0,31227.0,false,false
palmares-2023-tshuapa-2-48.txt,2023,tshuapa-2-48,equateur,5130,5101,3368,1762,-11453.0,31227.0,false,false
palmares-2015-katanga-4-74.txt,2015,katanga-4-74,katanga,5069,5068,3373,1696,-11453.0,31227.0,false,false
palmares-2012-junacyc.txt,2012,junacyc,autre,5059,5021,3781,1278,-11453.0,31227.0,false,false
palmares-2022-mai-ndombe-1-code-31.txt,2022,mai-ndombe-1-code-31,bandundu,5043,5037,3370,1673,-11453.0,31227.0,false,false
palmares-2015-equateur-4-44.txt,2015,equateur-4-44,equateur,4974,4972,3577,1397,-11453.0,31227.0,false,false
palmares-2015-kasai-oriental-2-92.txt,2015,kasai-oriental-2-92,kasai-oriental,4944,4941,3489,1455,-11453.0,31227.0,false,false
palmares-2023-equateur-2-46.txt,2023,equateur-2-46,equateur,4916,4909,3196,1720,-11453.0,31227.0,false,false
palmares-2019-kwango-2-36.txt,2019,kwango-2-36,bandundu,4883,4883,2712,2171,-11453.0,31227.0,false,false
palmares-2021-tshopo-2.txt,2021,tshopo-2,orientale,4835,4834,3694,1141,-11453.0,31227.0,false,false
palmares-2023-tshuapa-1-43.txt,2023,tshuapa-1-43,equateur,4780,4770,3118,1662,-11453.0,31227.0,false,false
palmares-2019-kasai-central-2-83.txt,2019,kasai-central-2-83,kasai-occidental,4734,4730,3801,933,-11453.0,31227.0,false,false
palmares-2017-definitif-mongala-44.txt,2017,definitif-mongala-44,equateur,4731,4730,3370,1361,-11453.0,31227.0,false,false
palmares-2013-kasai-oriental-1-91.txt,2013,kasai-oriental-1-91,kasai-oriental,4700,4697,3423,1277,-11453.0,31227.0,false,false
palmares-2021-sud-ubangi-2.txt,2021,sud-ubangi-2,equateur,4675,4675,3400,1275,-11453.0,31227.0,false,false
palmares-2010-equateur-4-44.txt,2010,equateur-4-44,equateur,4673,4672,3870,803,-11453.0,31227.0,false,false
palmares-2022-maniema-1-code-64.txt,2022,maniema-1-code-64,maniema,4666,4665,3178,1488,-11453.0,31227.0,false,false
palmares-2019-ituri-2-56.txt,2019,ituri-2-56,orientale,4661,4660,2875,1786,-11453.0,31227.0,false,false
palmares-2013-junacyc.txt,2013,junacyc,autre,4628,4612,3505,1123,-11453.0,31227.0,false,false
palmares-2019-tshopo-2-55.txt,2019,tshopo-2-55,orientale,4552,4551,3495,1057,-11453.0,31227.0,false,false
palmares-2019-tanganyika-1-73.txt,2019,tanganyika-1-73,katanga,4516,4514,2778,1738,-11453.0,31227.0,false,false
palmares-2010-province-orientale-2-52.txt,2010,province-orientale-2-52,orientale,4489,4484,3189,1300,-11453.0,31227.0,false,false
palmares-2019-lukaya-23.txt,2019,lukaya-23,bas-congo,4455,4452,2886,1569,-11453.0,31227.0,false,false
palmares-2021-sud-ubangi-1.txt,2021,sud-ubangi-1,equateur,4449,4449,3020,1429,-11453.0,31227.0,false,false
